"PEILDATUM_LEERLINGEN";"PRIKDATUM";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"VSO";"PRO";"VMBO_B";"VMBO_B_K";"VMBO_K";"VMBO_K_GT";"VMBO_GT";"VMBO_GT_HAVO";"HAVO";"HAVO_VWO";"VWO";"ADVIES_NIET_MOGELIJK"
"20241001";"20250904";"10RC";"00";"Rehobothschool";"3861VA";"NIJKERK";"0267";"Nijkerk";"Gelderland";"Bo";"Protestants-Christelijk";"89155";"0";"0";"0";"<5";"<5";"5";"<5";"6";"7";"8";"6";"0"
"20241001";"20250904";"10RD";"00";"Pc Basissch Pr Marijke";"7441BH";"NIJVERDAL";"0163";"Hellendoorn";"Overijssel";"Bo";"Protestants-Christelijk";"85600";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"6";"7";"0"
"20241001";"20250904";"10RE";"00";"IKC Juliana";"8603XV";"SNEEK";"1900";"Súdwest-Fryslân";"Friesland";"Bo";"Protestants-Christelijk";"42545";"0";"0";"<5";"0";"6";"5";"<5";"6";"6";"0";"<5";"0"
"20241001";"20250904";"10RF";"00";"Juliana v Stolbergschool";"5144CJ";"WAALWIJK";"0867";"Waalwijk";"Noord-Brabant";"Bo";"Protestants-Christelijk";"59282";"<5";"<5";"<5";"0";"<5";"<5";"9";"6";"<5";"13";"10";"0"
"20241001";"20250904";"10RH";"00";"Kluinveenschool";"7641AL";"WIERDEN";"0189";"Wierden";"Overijssel";"Bo";"Protestants-Christelijk";"92951";"0";"0";"<5";"<5";"0";"<5";"0";"<5";"<5";"<5";"<5";"0"
"20241001";"20250904";"10RI";"00";"Koningin Julianaschool";"3931PT";"WOUDENBERG";"0351";"Woudenberg";"Utrecht";"Bo";"Protestants-Christelijk";"41337";"0";"0";"0";"<5";"<5";"<5";"<5";"6";"<5";"6";"<5";"0"
"20241001";"20250904";"10RJ";"00";"Kindcentrum De Flief";"7204ES";"ZUTPHEN";"0301";"Zutphen";"Gelderland";"Bo";"Protestants-Christelijk";"41011";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0"
"20241001";"20250904";"10RK";"00";"De Hoogakker";"4824SG";"BREDA";"0758";"Breda";"Noord-Brabant";"Bo";"Algemeen bijzonder";"40637";"0";"0";"<5";"5";"6";"5";"8";"10";"8";"12";"13";"0"
"20241001";"20250904";"10RL";"00";"Noorderlicht";"5233EA";"'S-HERTOGENBOSCH";"0796";"'s-Hertogenbosch";"Noord-Brabant";"Bo";"Algemeen bijzonder";"41672";"0";"0";"0";"<5";"<5";"6";"<5";"14";"<5";"10";"14";"0"
"20241001";"20250904";"10RO";"00";"Chr Basisschool de Haven";"7001CT";"DOETINCHEM";"0222";"Doetinchem";"Gelderland";"Bo";"Protestants-Christelijk";"41011";"0";"<5";"0";"<5";"0";"<5";"7";"<5";"<5";"6";"9";"0"
