"PEILDATUM_LEERLINGEN";"PRIKDATUM_ADVIEZEN";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"VSO";"PRO";"VMBO_B";"VMBO_B_K";"VMBO_K";"VMBO_K_GT";"VMBO_GT";"VMBO_GT_HAVO";"HAVO";"HAVO_VWO";"VWO";"ADVIES_NIET_MOGELIJK"
"20221001";"20230501";"05OU";"00";"Chr BS It Fundamint";"9074AK";"HALLUM";"1970";"Noardeast-FryslÃn";"Friesland";"Bo";"Protestants-Christelijk";"40789";"0";"0";"0";"<5";"0";"<5";"<5";"9";"<5";"<5";"<5";"0"
"20221001";"20230501";"05OV";"00";"Basissch De Fjouwerhoeke";"9144CX";"HANTUMHUIZEN";"1970";"Noardeast-FryslÃn";"Friesland";"Bo";"Protestants-Christelijk";"40788";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20221001";"20230501";"05OW";"00";"CBS De Winde";"9254CS";"HURDEGARYP";"737";"Tytsjerksteradiel";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"0";"0";"0";"<5";"0";"6";"0";"6";"<5";"<5";"0"
"20221001";"20230501";"05OX";"00";"Chr SSBO De Arend";"8072BW";"NUNSPEET";"302";"Nunspeet";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"<5";"<5";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20221001";"20230501";"05OY";"00";"Basisschool De Regenboog";"3372XX";"HARDINXVELD-GIESSENDAM";"523";"Hardinxveld-Giessendam";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41439";"0";"0";"<5";"<5";"0";"0";"<5";"<5";"10";"6";"7";"0"
"20221001";"20230501";"05OZ";"00";"Chr. Basisschool De Ster";"9617BN";"HARKSTEDE";"1952";"Midden-Groningen";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"0";"0";"<5";"0";"<5";"0";"5";"<5";"<5";"0"
"20221001";"20230501";"05PA";"00";"Van Heemstraschool";"8051HB";"HATTEM";"244";"Hattem";"Gelderland";"Bo";"Protestants-Christelijk";"41473";"0";"<5";"<5";"<5";"0";"0";"<5";"<5";"5";"<5";"<5";"0"
"20221001";"20230501";"05PC";"00";"Johannes Postschool";"2391AX";"HAZERSWOUDE-DORP";"484";"Alphen aan den Rijn";"Zuid-Holland";"Bo";"Protestants-Christelijk";"40974";"0";"0";"<5";"7";"<5";"<5";"0";"<5";"<5";"5";"5";"0"
"20221001";"20230501";"05PD";"00";"Chr Bs It Wraldfinster";"8621DR";"HEEG";"1900";"SÂ·dwest-FryslÃn";"Friesland";"Bo";"Protestants-Christelijk";"42545";"0";"0";"0";"0";"0";"0";"6";"<5";"<5";"<5";"<5";"0"
"20221001";"20230501";"05PF";"00";"Basisschool Pr Juliana";"8275AC";"'S-HEERENBROEK";"166";"Kampen";"Overijssel";"Bo";"Protestants-Christelijk";"41125";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0"
