"PEILDATUM";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"REKENEN_LAGER1F";"REKENEN_1F";"REKENEN_1S";"REKENEN_2F";"LV_LAGER1F";"LV_1F";"LV_2F";"TV_LAGER1F";"TV_1F";"TV_2F"
"20231001";"16YS";"01";"Samenspel 1";"1324BH";"ALMERE";"34";"Almere";"Flevoland";"Bo";"Openbaar";"41676";"<5";"14";"9";"0";"0";"7";"18";"<5";"15";"7"
"20231001";"16YT";"00";"BS De Bussel";"1695HZ";"BLOKKER";"405";"Hoorn";"Noord-Holland";"Bo";"Openbaar";"41772";"<5";"7";"<5";"0";"0";"<5";"8";"<5";"6";"<5"
"20231001";"16YU";"00";"Chr BS Willem van Oranje";"3074PG";"ROTTERDAM";"599";"Rotterdam";"Zuid-Holland";"Bo";"Protestants-Christelijk";"47595";"<5";"7";"5";"0";"0";"<5";"10";"<5";"5";"7"
"20231001";"16YW";"00";"De Vliedberg";"3068GN";"ROTTERDAM";"599";"Rotterdam";"Zuid-Holland";"Bo";"Rooms-Katholiek";"24597";"<5";"6";"12";"0";"0";"<5";"16";"0";"7";"12"
"20231001";"16YX";"00";"RK Basissch Prinsenhof";"2211AB";"NOORDWIJKERHOUT";"575";"Noordwijk";"Zuid-Holland";"Bo";"Rooms-Katholiek";"40967";"<5";"30";"22";"0";"0";"15";"39";"<5";"27";"23"
"20231001";"16YZ";"00";"Basisschool Nieuwoord";"7681HD";"VROOMSHOOP";"1700";"Twenterand";"Overijssel";"Bo";"Protestants-Christelijk";"99594";"0";"9";"19";"0";"0";"6";"22";"0";"14";"14"
"20231001";"16ZB";"00";"IKC Trianova";"8926NA";"LEEUWARDEN";"80";"Leeuwarden";"Friesland";"Bo";"Openbaar";"41850";"<5";"22";"25";"0";"0";"13";"37";"0";"18";"32"
"20231001";"16ZC";"00";"De Poolster";"8226BA";"LELYSTAD";"995";"Lelystad";"Flevoland";"Bo";"Openbaar";"42552";"8";"13";"<5";"0";"<5";"10";"12";"<5";"17";"<5"
"20231001";"16ZD";"00";"OBS Europa";"7543ZJ";"ENSCHEDE";"153";"Enschede";"Overijssel";"Bo";"Openbaar";"41565";"<5";"17";"<5";"0";"<5";"9";"9";"<5";"7";"10"
"20231001";"16ZF";"00";"OBS De Peppelaer";"2013PW";"HAARLEM";"392";"Haarlem";"Noord-Holland";"Bo";"Openbaar";"41853";"8";"35";"10";"0";"<5";"11";"40";"6";"29";"18"
