"PEILDATUM_LEERLINGEN";"PRIKDATUM_SCORES";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"ONTHEFFING_REDEN_ND";"CET_AANTAL";"CET_GEM";"IEP_AANTAL";"IEP_GEM";"ROUTE8_AANTAL";"ROUTE8_GEM";"DIA_AANTAL";"DIA_GEM";"AMN_AANTAL";"AMN_GEM"
"20221001";"20230601";"04VD";"00";"Prins Willem Alexander";"3362SP";"SLIEDRECHT";"610";"Sliedrecht";"Zuid-Holland";"Bo";"Protestants-Christelijk";"43928";"<5";"46";535,95652173913;"<5";NA;"0";0;"0";0;"0";0
"20221001";"20230601";"04VF";"00";"KC de Meerstroom";"1399HX";"MUIDERBERG";"1942";"Gooise Meren";"Noord-Holland";"Bo";"Protestants-Christelijk";"41595";"<5";"0";0;"0";0;"39";213,538461538462;"0";0;"0";0
"20221001";"20230601";"04VG";"00";"SWS De Nijewier";"8458CA";"TJALLEBERD";"74";"Heerenveen";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"0";0;"22";80,6818181818182;"0";0;"0";0;"0";0
"20221001";"20230601";"04VI";"00";"Basissch De Tweestroom";"6628AB";"ALTFORST";"668";"West Maas en Waal";"Gelderland";"Bo";"Rooms-Katholiek";"41340";"<5";"0";0;"0";0;"8";174,875;"0";0;"0";0
"20221001";"20230601";"04VJ";"00";"RK BS De Heggerank";"6598AX";"HEIJEN";"907";"Gennep";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";0;"12";80,5;"0";0;"0";0;"0";0
"20221001";"20230601";"04VK";"00";"Chr Basissch De Wel";"7948AE";"NIJEVEEN";"119";"Meppel";"Drenthe";"Bo";"Protestants-Christelijk";"41196";"0";"19";531,789473684211;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"04VL";"00";"Chr Basissch d'n Akker";"4414AL";"WAARDE";"703";"Reimerswaal";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"17";535,705882352941;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"04VM";"00";"St Antoniusschool";"4571DE";"AXEL";"715";"Terneuzen";"Zeeland";"Bo";"Rooms-Katholiek";"40803";"0";"0";0;"0";0;"0";0;"27";358,814814814815;"0";0
"20221001";"20230601";"04VN";"00";"De Oase";"7391BW";"TWELLO";"285";"Voorst";"Gelderland";"Bo";"Protestants-Christelijk";"45969";"0";"11";534,636363636364;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"04VO";"00";"Basisschool De Weiert";"5944BN";"ARCEN";"983";"Venlo";"Limburg";"Bo";"Rooms-Katholiek";"41018";"0";"0";0;"0";0;"0";0;"0";0;"16";389,9375
