"PEILDATUM";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"REKENEN_LAGER1F";"REKENEN_1F";"REKENEN_1S";"REKENEN_2F";"LV_LAGER1F";"LV_1F";"LV_2F";"TV_LAGER1F";"TV_1F";"TV_2F"
"20241001";"00AP";"00";"WereldWijs";"2716PH";"ZOETERMEER";"0637";"Zoetermeer";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"<5";"7";"<5";"0";"0";"<5";"8";"<5";"5";"5"
"20241001";"00AR";"00";"BS ""De Maasparel""";"6107AW";"STEVENSWEERT";"1641";"Maasgouw";"Limburg";"Bo";"Rooms-Katholiek";"41797";"<5";"13";"7";"0";"0";"8";"13";"0";"12";"9"
"20241001";"00AV";"00";"De Morgenster";"3201CN";"SPIJKENISSE";"1930";"Nissewaard";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"<5";"5";"<5";"0";"0";"<5";"6";"<5";"8";"<5"
"20241001";"00AZ";"00";"De Stapsteen";"2971AR";"BLESKENSGRAAF CA";"1978";"Molenlanden";"Zuid-Holland";"Bo";"Openbaar";"41638";"<5";"8";"6";"0";"0";"6";"9";"0";"7";"8"
"20241001";"00BB";"00";"Obs Letterwies";"9944AR";"NIEUWOLDA";"1895";"Oldambt";"Groningen";"Bo";"Openbaar";"41613";"<5";"5";"<5";"0";"0";"5";"<5";"0";"6";"<5"
"20241001";"00BS";"00";"Geref Basisschool";"7711KP";"NIEUWLEUSEN";"0148";"Dalfsen";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41632";"<5";"<5";"5";"0";"0";"<5";"8";"0";"7";"<5"
"20241001";"00BW";"00";"Jenaplanschool De Vlieger";"6131KJ";"SITTARD";"1883";"Sittard-Geleen";"Limburg";"Bo";"Algemeen bijzonder";"41516";"<5";"10";"<5";"0";"0";"5";"8";"<5";"5";"7"
"20241001";"00CD";"00";"Basisschool De Lockaert";"5345JG";"OSS";"0828";"Oss";"Noord-Brabant";"Bo";"Algemeen bijzonder";"41228";"0";"8";"18";"0";"0";"6";"20";"0";"8";"18"
"20241001";"00CG";"00";"De Harlekijn";"6372AC";"LANDGRAAF";"0882";"Landgraaf";"Limburg";"Bo";"Openbaar";"41516";"<5";"24";"23";"0";"0";"11";"39";"<5";"16";"33"
"20241001";"00CS";"00";"Basisschool De Leilinde";"9671JA";"WINSCHOTEN";"1895";"Oldambt";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"42607";"<5";"8";"<5";"0";"0";"<5";"8";"<5";"6";"<5"
"20241001";"00CU";"00";"Basisschool Zilverlinde";"4707EW";"ROOSENDAAL";"1674";"Roosendaal";"Noord-Brabant";"Bo";"Antroposofisch";"41246";"0";"8";"<5";"0";"0";"0";"12";"<5";"<5";"8"
"20241001";"00CV";"00";"School Matthijsje";"8388NA";"OOSTERSTREEK";"0098";"Weststellingwerf";"Friesland";"Bo";"Algemeen bijzonder";"20210";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"00DD";"00";"Basissch Het Startnest";"1422LE";"UITHOORN";"0451";"Uithoorn";"Noord-Holland";"Bo";"Rooms-Katholiek";"40581";"<5";"15";"<5";"0";"<5";"6";"10";"<5";"13";"<5"
"20241001";"00DM";"00";"De Bolderik";"5473PG";"HEESWIJK-DINTHER";"1721";"Bernheze";"Noord-Brabant";"Bo";"Openbaar";"75388";"<5";"<5";"<5";"0";"0";"<5";"7";"0";"<5";"6"
"20241001";"00DN";"00";"De Bundeling";"6241BB";"BUNDE";"0938";"Meerssen";"Limburg";"Bo";"Openbaar";"42669";"<5";"10";"8";"0";"0";"<5";"19";"<5";"6";"12"
"20241001";"00DO";"00";"INOVA";"3151CJ";"HOEK VAN HOLLAND";"0599";"Rotterdam";"Zuid-Holland";"Bo";"Openbaar";"41775";"<5";"8";"<5";"0";"0";"<5";"6";"<5";"7";"<5"
"20241001";"00DW";"00";"De Trompetter";"6986AT";"ANGERLO";"0299";"Zevenaar";"Gelderland";"Bo";"Rooms-Katholiek";"77235";"0";"7";"17";"0";"0";"<5";"21";"0";"5";"19"
"20241001";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"0106";"Assen";"Drenthe";"Bo";"Antroposofisch";"77456";"5";"11";"9";"0";"0";"5";"20";"<5";"14";"10"
"20241001";"00DY";"00";"Basisschool het Sterrenlicht";"8084GK";"'T HARDE";"0230";"Elburg";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"<5";"13";"<5";"0";"<5";"<5";"12";"<5";"<5";"11"
