"PEILDATUM_LEERLINGEN";"PRIKDATUM";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"ONTHEFFING_REDEN_ND";"IEP_AANTAL";"IEP_GEM";"ROUTE8_AANTAL";"ROUTE8_GEM";"DIA_AANTAL";"DIA_GEM";"AMN_AANTAL";"AMN_GEM";"DOE_AANTAL";"DOE_GEM";"LIB_AANTAL";"LIB_GEM"
"20231001";"20240904";"04NN";"00";"2e Marnixsch Chr Basison";"3533VD";"UTRECHT";"344";"Utrecht";"Utrecht";"Bo";"Protestants-Christelijk";"62662";"0";"28";"80,2142857142857";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04NO";"00";"Eben-Haezerschool";"4245KR";"LEERBROEK";"1961";"Vijfheerenlanden";"Utrecht";"Bo";"Protestants-Christelijk";"42794";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"18";"179,111111111111"
"20231001";"20240904";"04NP";"00";"Bs vd Edese Schoolver";"6711NN";"EDE";"228";"Ede";"Gelderland";"Bo";"Algemeen bijzonder";"33151";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"31";"177,096774193548"
"20231001";"20240904";"04NR";"00";"Koorsch Muz Inst Kathedr";"2013ZL";"HAARLEM";"392";"Haarlem";"Noord-Holland";"Bo";"Rooms-Katholiek";"33424";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"15";"178,200000000000"
"20231001";"20240904";"04NS";"00";"CMS De Abeel";"2565XP";"'S-GRAVENHAGE";"518";"'s-Gravenhage";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41324";"0";"37";"83,8648648648649";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04NT";"00";"Basissch De Morgenster";"2851BM";"HAASTRECHT";"1931";"Krimpenerwaard";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41194";"<5";"0";"0,0000000000000";"20";"221,650000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04NU";"00";"Het Palet";"7415AR";"DEVENTER";"150";"Deventer";"Overijssel";"Bo";"Protestants-Christelijk";"23128";"<5";"20";"71,5500000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04NV";"00";"K Norel-School";"8162JA";"EPE";"232";"Epe";"Gelderland";"Bo";"Protestants-Christelijk";"41736";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"16";"175,000000000000"
"20231001";"20240904";"04NW";"00";"Dorpsschool Halle";"7025AG";"HALLE";"1876";"Bronckhorst";"Gelderland";"Bo";"Algemeen bijzonder";"33957";"0";"12";"86,7500000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04OA";"00";"Chr Bs De Springplank";"4661CJ";"HALSTEREN";"748";"Bergen op Zoom";"Noord-Brabant";"Bo";"Protestants-Christelijk";"40517";"0";"25";"75,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
